"","Early_stage","Intermediate1_stage","Intermediate2_stage","Intermediate3_stage","Late_stage"
"aat-1",4.26114309882618,5.84684557477389,8.44959190927609,5.79731198690243,4.8098590788908
"aat-2",4.26879858049386,5.98241353984076,6.69209832330105,6.25077440116642,6.52288536219325
"aat-3",5.68546452558489,7.24632775687158,8.74471286143503,7.04049697033921,6.02051777712776
"aat-5",3.29235053183142,3.42377077187432,4.40854828254459,5.80319423934643,6.28197444843528
"aat-9",7.15513294038617,5.72980622305424,5.29755545770833,5.984250209708,5.99577562165959
"abl-1",6.21082854916836,7.35196602504432,7.43192295473902,6.27906913102066,4.57219885137996
"abt-4",3.55972459513761,3.64054549585081,4.55161296086802,3.45397174019714,6.72317789301112
"abu-8",3.51614002459811,3.50047247062408,3.88819905860831,3.80687328870817,6.16405272466768
"ace-1",3.51570117676424,3.73759115529758,6.5693441482487,8.19661152494061,6.75689767661392
"ace-2",3.34723157138784,4.40736850923034,5.43219441455383,5.48464454373921,5.08608053751163
"ace-3",3.41116513616056,4.44443308918325,7.71607731972909,8.59121525770023,8.09100927237972
"acn-1",3.55978091662364,5.48120999082854,9.73237204008653,7.79904396308989,4.32582194308637
"aco-1",7.43913599137539,9.09534737839732,7.86348334627105,6.9906925272573,6.88916156887381
"aco-2",7.76742514654384,6.6481796331917,8.19270150280127,8.59009357372958,8.81070151810479
"acr-7",3.3028547176915,4.11794441595044,4.71505081451593,5.67106993482752,3.77512272939353
"acr-8",3.23942654684772,3.56729638140289,5.2655242994088,6.06881746917245,5.4914803080658
"acr-12",3.31439744593411,3.55324472750464,4.23376412911199,5.97887792811773,4.62470584597524
"acr-15",3.44546546321705,3.64842223816217,5.37063357911299,5.23479790644199,5.52087739148963
"act-1",8.78324778829744,8.48717260771382,8.988489055617,10.4044923357971,11.8017820816266
"act-2",10.9096984427207,9.29297045986354,9.75719295770253,9.48532530950618,9.39426115970717
"act-3",10.9088300899429,9.68995210298155,10.6190612375269,11.1779791805021,12.6725217930295
"act-4",8.52436695986775,11.684870033872,12.864812381117,11.72990991669,12.3867022004109
"act-5",5.05071115252898,7.2704151161128,10.1792814995699,13.685808486726,14.7461132368451
"acy-1",3.80898213048957,4.63140005705217,7.87193429014457,8.14975341666179,8.54511870927039
"acy-3",3.32926125640699,4.69147347099389,7.5065011077512,6.34139525079253,4.73405596545897
"adm-2",5.9339388624481,5.6621114283465,6.80994183594182,6.67706453172228,5.79083209252482
"adr-2",7.58750979450324,7.20999095173676,6.41330300728398,8.33144176420799,7.95918012225424
"ads-1",4.22338187097937,5.5241732413135,7.24292172269134,5.95530752250247,6.74196035625792
"adt-2",3.45714501252944,4.58732683632837,4.74795692318128,5.58113364060509,5.10376003977313
"aex-1",3.38275736012795,3.91381947476988,3.68481596491421,5.20619845950622,5.92967305468187
"aex-3",3.78019503767149,4.76890924324382,6.46187618784013,6.39416911054401,5.67485773959437
"aex-6",3.72733431030675,4.06149601782196,3.96380330003725,7.30448471863575,8.0948464617874
"aha-1",6.11672876473784,6.0055193437101,7.32288860830418,7.28690675368363,6.23493013032258
"air-1",9.94741072540594,8.85853912488567,6.85450467641776,7.52634206257773,7.58204878083778
"air-2",8.40721075801515,8.01669153467422,6.10533464995421,6.06744884698013,5.75816705502175
"ajm-1",5.13385470234117,8.6047730789037,10.6686783171343,9.41520766931138,7.83796116107327
"aka-1",8.07127744947185,7.02706475542849,7.27883952325725,6.3317950696859,6.51573230331464
"akt-1",8.60763586965344,6.75858093929931,7.71286106570924,9.04581997857388,9.13020586812472
"akt-2",4.51361427222074,5.0860023829694,5.06095796695074,5.01870632653487,6.91443678550866
"alg-1",6.38430132243574,7.47716220801885,8.07966810158049,7.78365485576285,6.2439145981643
"alg-2",7.84790224007723,7.75737140706291,6.98837201420265,6.09744320631331,5.42253933093044
"alh-1",6.78776174092593,7.34343192667677,7.67316568432568,7.95443900866643,7.73586495738676
"alh-3",4.76262851728641,6.43649202024754,8.36869051831695,7.22264082962159,5.45882552331129
"alh-4",7.62925630642623,7.65502855470908,8.43961113043453,6.86386968760146,8.80232153539028
"alh-6",5.20019588600174,5.18420983582003,6.01346274707731,5.75999177392238,6.96080255974923
"alh-8",7.69961742314636,9.13029826930871,10.1755685475287,10.4380932685999,11.161761370214
"alh-9",8.56448762059317,8.84520975581388,9.7748403368418,10.7017700008179,10.2262996915908
"alh-10",4.2558990146314,5.59787904414998,6.39685564635827,4.90369774204687,5.4709079627896
"alh-12",6.20566708949105,6.29697940332092,5.50790480336492,6.28291948879153,7.61521616805262
"aly-1",8.82113889586219,9.02469971709439,8.0403318048597,5.77921905483612,4.99706219350611
"aly-2",10.1957754290446,8.38167315600084,6.81845070056765,7.42391445960589,8.6396324799761
"aly-3",10.4492088430493,9.85580707883132,9.00059807483747,7.61203394279833,8.06322338208583
"ama-1",7.85521762637068,7.60839626967803,7.0029959158641,6.28253004397117,6.50018356598102
"amt-4",3.50286757507845,3.46876925110788,5.04256242356313,5.98986999993824,5.35105702084176
"amx-2",3.6604907251703,4.93277294112934,3.67482078669406,4.07564899909424,6.13471167176038
"anc-1",5.31590431751624,7.34768231152374,9.31481914991833,10.6215913158544,10.6450200554701
"aos-1",8.40087172329685,7.54295920735848,7.14711860531161,6.68009941364306,6.28522263211157
"apc-10",6.26053887617017,4.38333902131003,4.4502801586135,3.94028843546517,4.61418826349334
"apc-11",7.05284551115785,6.51889387310855,5.58385199265806,5.51747787327418,4.9935049853438
"aph-2",7.09420565227111,8.03874553061115,6.58509894360618,5.65914558091957,5.50487145393552
"apl-1",4.96521594631806,8.88471528650562,10.688367711566,10.4669933841626,9.43234218880819
"apm-1",4.67449417705765,6.38171632508786,8.11179220924829,7.69401851190515,6.48034353080838
"apn-1",7.33097274979462,6.90199571466623,5.44610933161491,5.98004773990487,5.02976513838063
"app-1",7.53961411011477,5.46317954133902,6.06140946669567,6.54644980081687,7.27417134104226
"aps-2",6.63921487508854,7.59324341177026,7.85730841979414,6.88001787380732,6.48173579542261
"aps-1",7.2094210217131,8.15885071312509,7.91134337512189,6.21218357770229,5.89788573156527
"apb-1",7.45289972330531,8.28356271091531,8.88919946791444,8.74567471421824,7.82000492572535
"apb-3",7.65817030341813,7.318020323528,7.75486079991943,6.81606137352414,5.48117704738993
"apm-3",6.94497574401677,8.02637524538011,7.33488033231948,7.50692123501102,6.34612607790856
"apt-9",3.23942654684772,3.31308316327703,4.31683576472048,4.44549434247521,5.82564895650564
"apx-1",6.61375987027996,6.23614429629084,6.3360395213877,7.8434123615573,8.20131295332966
