"","Early_stage","Intermediate1_stage","Intermediate2_stage","Intermediate3_stage","Late_stage"
"act-5",5.05071115252898,7.2704151161128,10.1792814995699,13.685808486726,14.7461132368451
"aqp-4",3.38433883139854,3.53237101565256,6.58441000847433,8.10612874560112,6.50486161107909
"bre-1",4.29410850092006,6.09062899178996,8.14708012461763,8.75267895889191,6.25520384252259
"cah-4",4.75315571280763,6.10132349525239,7.2912018434706,8.07365611736346,10.4699633296558
"cki-1",4.64947338424613,9.6161782622717,9.61847804326956,8.72453750672139,6.75705586740701
"cnb-1",4.73440244120065,6.16634664181229,9.10123178750107,9.68641116020153,9.65286069767964
"col-117",4.01015995975892,4.66842727309238,5.27876535137,8.86336561687312,13.8827989539951
"col-130",3.33942752952666,3.694857047903,3.87229346094925,5.53537191215066,10.2359094036503
"cpn-3",5.38785969238651,6.7183401023484,11.8381799465972,13.2548771393905,13.5594468474475
"deb-1",4.07585177089743,5.15683731797996,9.80022125238449,9.57335589593812,10.4395548301483
"dpy-14",6.31307893618364,12.1533056947215,14.1667272133113,13.8652412071556,5.86197149318543
"dsl-3",5.19183522887905,9.23032991397445,5.65009394477415,3.23942654684772,3.23942654684772
"eps-8",5.20733526957105,6.49746585741952,10.4818252438199,12.4068355808334,12.1808393255541
"fkb-3",3.92080522238166,7.82116996617646,7.64827105585975,8.80043789057888,5.92483924669725
"gln-3",5.81265719678193,8.47641309501167,10.3393558020189,11.2871739948808,9.59715419974682
"gpd-3",7.02247118732743,7.87514512527149,8.94825153938188,11.3069928705424,12.2287349146155
"gta-1",4.81453110107393,7.16833222280499,7.81849943711425,7.56875907448848,7.84557714246313
"hil-4",10.4270090239191,7.5973753810326,6.71639332927819,7.34858377783219,7.5916692963534
"hot-5",3.29904395753775,3.55911833206609,4.81440614038773,8.2489677946501,8.06830415828508
"ifb-1",4.66201531377293,6.98521178182653,10.7778003704244,10.8929351614057,11.8410360106535
"ifb-2",4.33897030014264,5.23591114110098,9.00122773559477,11.2587390240303,12.2899466350957
"lbp-6",4.53162097881093,5.20909450654604,6.92537772880488,8.75185783809559,10.0263154477953
"lec-6",4.70548931533603,4.43014243437084,5.45244644216002,7.53565334943936,9.62580576823698
"lec-9",4.36524732977567,4.60481628218663,7.39631257221641,10.6767540989111,13.4618669156693
"mlc-2",5.01827301978809,6.45454062001355,9.30346595194594,10.7407654377158,12.2476180799516
"mup-2",5.22616653195567,6.18609851418243,10.5815020109806,12.2200334217123,13.222265752599
"nlp-24",4.67449768013216,5.61358755052274,6.25821595062602,7.96082335272371,13.5350935933388
"nlp-29",3.44341146549069,4.35734116689232,5.37779852838224,5.67611023997438,10.6719584468959
"nlt-1",4.11808926733084,5.40972542465293,8.6417076019832,9.65013680669721,9.94367546800754
"pqn-94",3.56545538554269,3.76908832442278,3.23942654684772,5.09956065865417,9.21713397954604
"rpl-3",8.29193880503363,10.536782082019,11.5032229136814,11.8935397873878,12.4929718976045
"rpl-7",8.12914902379526,10.0421561768384,10.4059241922305,11.1604446814425,11.6701997281512
"rpl-9",7.8823766319325,10.0607594188146,11.1232427317846,12.211057965519,12.5888972187665
"rpl-11.2",7.71952843506427,10.7394601654584,11.3755131894628,11.6402148581177,12.0802999058816
"rpl-15",8.21959603732171,10.3153104964056,10.9859203856982,11.4261655947868,12.0547758806715
